comment,cleaned_comment,score1,score2,combined_score
原来如此，因为我心里藏着一个人，他不知道，但是我很开心。即使偶尔遇见渣男，我也能笑着转身，因为我心里藏着一个人，没有男人能入心。也就没有人能伤我的心。,原来如此，因为我心里藏着一个人，他不知道，但是我很开心。即使偶尔遇见渣男，我也能笑着转身，因为我心里藏着一个人，没有男人能入心。也就没有人能伤我的心。,0.3594573740249155,1.0,0.601287110511085
"还有up主太两极分化了，恋爱结婚除了稳定一辈子就是玩玩??我们可以很认真的恋爱或者结婚，但没有走到一辈子也不代表就是奔着玩玩去的啊??!!! 每一段感情都是一个人生经历，就和一次旅游，一段职场，一次创业一样，就算最后没有终老，只要在一起的时候认真投入了，让双方变好了，那就是值得的恋爱，不是玩玩。
自由恋爱给人爱的自由，也给人不爱的自由，这是非常正常的事情。每个人在不同的人生阶段所呈现出来的可以是完全不同的人，在每个人生阶段根据阅历和认知的不同都会造成不同的喜欢的类型，自己散发的气场也会吸引不同种类的人。
有些人一开始合适+互相喜欢，随着时间慢慢的改变了，到了一个岔路口就分开，这是很正常的现象，并不代表这两个人当时没有认真过只是玩玩。
相反，如果一开始喜欢的人非要逼着他们走完一辈子，就算没有爱了也要强撑着婚姻空壳，这才是消耗人的时间与生命力，也是一种道德与情感的绑架。
人有爱的权利，也有不爱的权利。不爱可以把关注点放在自身，也可以把如何讨男女朋友欢心的心思用来考试面试学另一种语言学做菜等等。我天天给一个乞丐一块钱，有一天不给了，这是我的权利，因为这本来就是我的钱。同样，我天天爱一个人，突然有一天不爱了，这也是我的权利，因为我的情感，情绪和精力本来就属于我，我决定收回本来就是我的自由。",还有up主太两极分化了，恋爱结婚除了稳定一辈子就是玩玩??我们可以很认真的恋爱或者结婚，但没有走到一辈子也不代表就是奔着玩玩去的啊??!!! 每一段感情都是一个人生经历，就和一次旅游，一段职场，一次创业一样，就算最后没有终老，只要在一起的时候认真投入了，让双方变好了，那就是值得的恋爱，不是玩玩。 自由恋爱给人爱的自由，也给人不爱的自由，这是非常正常的事情。每个人在不同的人生阶段所呈现出来的可以是完全不同的人，在每个人生阶段根据阅历和认知的不同都会造成不同的喜欢的类型，自己散发的气场也会吸引不同种类的人。 有些人一开始合适+互相喜欢，随着时间慢慢的改变了，到了一个岔路口就分开，这是很正常的现象，并不代表这两个人当时没有认真过只是玩玩。 相反，如果一开始喜欢的人非要逼着他们走完一辈子，就算没有爱了也要强撑着婚姻空壳，这才是消耗人的时间与生命力，也是一种道德与情感的绑架。 人有爱的权利，也有不爱的权利。不爱可以把关注点放在自身，也可以把如何讨男女朋友欢心的心思用来考试面试学另一种语言学做菜等等。我天天给一个乞丐一块钱，有一天不给了，这是我的权利，因为这本来就是我的钱。同样，我天天爱一个人，突然有一天不爱了，这也是我的权利，因为我的情感，情绪和精力本来就属于我，我决定收回本来就是我的自由。,0.3594573740249155,1.0,0.8825145068697733
我遇到个问题：我加了我女朋友闺蜜的抖音号，我女朋友看到后问我有什么企图，我当时都懵了，我说我没有任何企图，纯粹是因为是你朋友我才关注的，然后就冷战了，我跟她说我在她住的那栋楼后面等她(当时还在下中雨)，好好聊聊解决问题，等了一个半小时， 中途也电话和消息了都没用，我就回去了，后来她回复说我们分手吧。我不知道为什么既然有矛盾了为什么不能聊呢，问题解决不了再分手也行啊。,我遇到个问题：我加了我女朋友闺蜜的抖音号，我女朋友看到后问我有什么企图，我当时都懵了，我说我没有任何企图，纯粹是因为是你朋友我才关注的，然后就冷战了，我跟她说我在她住的那栋楼后面等她(当时还在下中雨)，好好聊聊解决问题，等了一个半小时， 中途也电话和消息了都没用，我就回去了，后来她回复说我们分手吧。我不知道为什么既然有矛盾了为什么不能聊呢，问题解决不了再分手也行啊。,0.3594573740249155,1.0,0.800312757975479
"以前有传宗接代的社会要求、风气要求和长辈要求，但是新时代+独生一代+高速30年，造成从90后至今的思想完全不同，衣食无忧、父母包容、高等教育、工作节奏加速、无兄弟姐妹和家族压力，他们就像被刷机一样，来到了一个和30年前完全不同的世界，自然会有完全不同的，更自我，更现实的想法，也不需要搭伙。更追求本能的喜欢和爱慕，更享受这个过程而不是领证这个形式。

但不可能没有缺点，爱情这个东西燃起来快，但很难长期单独保鲜，因为恋爱过程和身体结合，就是爱情的所有内容，领证、生娃和爱情其实没有太多关联，难道带了套就没有爱情了？更多是一个所谓的见证，但是这个见证背负的东西太多，直接上升了家庭的交流和法律的关系，所以恋爱者多，长期恋爱后走入婚姻的少，走入领证这步，更需要依靠青梅竹马，学生友情，怀孕情亲等为纽带辅佐。",以前有传宗接代的社会要求、风气要求和长辈要求，但是新时代+独生一代+高速年，造成从后至今的思想完全不同，衣食无忧、父母包容、高等教育、工作节奏加速、无兄弟姐妹和家族压力，他们就像被刷机一样，来到了一个和年前完全不同的世界，自然会有完全不同的，更自我，更现实的想法，也不需要搭伙。更追求本能的喜欢和爱慕，更享受这个过程而不是领证这个形式。 但不可能没有缺点，爱情这个东西燃起来快，但很难长期单独保鲜，因为恋爱过程和身体结合，就是爱情的所有内容，领证、生娃和爱情其实没有太多关联，难道带了套就没有爱情了？更多是一个所谓的见证，但是这个见证背负的东西太多，直接上升了家庭的交流和法律的关系，所以恋爱者多，长期恋爱后走入婚姻的少，走入领证这步，更需要依靠青梅竹马，学生友情，怀孕情亲等为纽带辅佐。,0.3594573740249155,0.4320558161628193,0.5471471784110173
我一直想知道如果遇到一个感觉对方比自己强的人，带着一种自卑、些许仰慕的爱是真正的爱吗？当我感觉与对方不平等时，我好像没有爱他的能力，我给不了能激起对方生命力的我的生命力，那是否还要做出努力？做出努力往往会不自觉的讨好对方，因为人会下意识的选择最简便的方法，而精进自己是一个缓慢和看不见的过程。在这个过程中容易略过对方对自己的不尊重的地方，一而再再二三地在这种没有达到人与人之间真正对等统一的关系里让人产生极大的挫败。有时候我觉得这不是一种真正的喜欢和爱。,我一直想知道如果遇到一个感觉对方比自己强的人，带着一种自卑、些许仰慕的爱是真正的爱吗？当我感觉与对方不平等时，我好像没有爱他的能力，我给不了能激起对方生命力的我的生命力，那是否还要做出努力？做出努力往往会不自觉的讨好对方，因为人会下意识的选择最简便的方法，而精进自己是一个缓慢和看不见的过程。在这个过程中容易略过对方对自己的不尊重的地方，一而再再二三地在这种没有达到人与人之间真正对等统一的关系里让人产生极大的挫败。有时候我觉得这不是一种真正的喜欢和爱。,0.3594573740249155,1.0,0.6896918047289
"看完反思了一下，感觉自己犯了几个老师说的点：
1、觉得爱情是必需品，我需要找到一个我爱并爱我的人，这样我的生活才有意义，我才有继续下去每天开心的动力；
2、我被爱才有价值，把自己的价值定义交给别人；
3、离开他之后我就再也找不到比他更好的人了；
4、害怕打破惯性，我不敢想象现阶段的生活被打破没有他之后的生活我该怎么过，我怕我陷入糟糕的情绪中走不出来，我怕我不开心。
但是问题在于，你要认清：
1、爱情可遇不可求，人瞬息万变。没有谁永远爱你，与其把希望寄托在这些虚无缥缈的事情上面不如好好提升自己，不再对爱情抱有那么大的希望。
2、不能再把自己的价值与否与是否被爱绑定，这样你的内核会非常弱，改变固有认知。
3、你会找到更好的人，就像与前男友分手一样，你觉得不会找到自己爱的人了，后来不也找到了一个自己非常非常喜欢的人吗。对自己的未来抱有积极的期望。
4、这世界上唯一不变的就是变。不要害怕改变，有的时候改变意味着机遇，意味着新的阶段甚至更好的结果。人不能总是一层不变，要学会接受生活给自己带来的任何变化并去积极应对。",看完反思了一下，感觉自己犯了几个老师说的点： 、觉得爱情是必需品，我需要找到一个我爱并爱我的人，这样我的生活才有意义，我才有继续下去每天开心的动力； 、我被爱才有价值，把自己的价值定义交给别人； 、离开他之后我就再也找不到比他更好的人了； 、害怕打破惯性，我不敢想象现阶段的生活被打破没有他之后的生活我该怎么过，我怕我陷入糟糕的情绪中走不出来，我怕我不开心。 但是问题在于，你要认清： 、爱情可遇不可求，人瞬息万变。没有谁永远爱你，与其把希望寄托在这些虚无缥缈的事情上面不如好好提升自己，不再对爱情抱有那么大的希望。 、不能再把自己的价值与否与是否被爱绑定，这样你的内核会非常弱，改变固有认知。 、你会找到更好的人，就像与前男友分手一样，你觉得不会找到自己爱的人了，后来不也找到了一个自己非常非常喜欢的人吗。对自己的未来抱有积极的期望。 、这世界上唯一不变的就是变。不要害怕改变，有的时候改变意味着机遇，意味着新的阶段甚至更好的结果。人不能总是一层不变，要学会接受生活给自己带来的任何变化并去积极应对。,0.3594573740249155,1.0,0.8432930790568678
此生迄今为止最接近爱情的一刻在初中，妹子相貌可爱，还挺主动的，但是本榆木脑袋不解风情，flag全回避了，上了大学才回过味来，但是再也没有遇到过这样的妹子，感觉要注孤生了[喜极而泣],此生迄今为止最接近爱情的一刻在初中，妹子相貌可爱，还挺主动的，但是本榆木脑袋不解风情，flag全回避了，上了大学才回过味来，但是再也没有遇到过这样的妹子，感觉要注孤生了,0.3594573740249155,0.33622659986374615,0.2820869173784271
我只谈过三段恋爱 我还没有学会怎么爱人。。,我只谈过三段恋爱 我还没有学会怎么爱人。。,0.0,0.4632039205553255,0.3356837944674256
很喜欢江酱这样的女孩子。上午的时候还在跟我姐说，我不想过我父母的那样的生活，找一段缘分婚姻，搭伙过日子，找一个稳定的工作，早点成家，过上简单又稳定的生活。我想出去看看这个世界，到处走一走。虽然她还是说，是因为我还没有进入社会，没有经历过每个月挣那一两千块钱是多么辛苦。或许吧，是我还没有遭受社会的毒打，可能最后我也会妥协，但至少现在这个阶段，我不觉得我的想法有什么问题，如果我在20岁的时候，就想着过着像我父母那样的生活，那我会觉得我的人生还有什么意义呢？我会觉得我是一个没有追求的人。,很喜欢江酱这样的女孩子。上午的时候还在跟我姐说，我不想过我父母的那样的生活，找一段缘分婚姻，搭伙过日子，找一个稳定的工作，早点成家，过上简单又稳定的生活。我想出去看看这个世界，到处走一走。虽然她还是说，是因为我还没有进入社会，没有经历过每个月挣那一两千块钱是多么辛苦。或许吧，是我还没有遭受社会的毒打，可能最后我也会妥协，但至少现在这个阶段，我不觉得我的想法有什么问题，如果我在岁的时候，就想着过着像我父母那样的生活，那我会觉得我的人生还有什么意义呢？我会觉得我是一个没有追求的人。,0.3594573740249155,0.33622659986374615,0.6147252565694912
"和@宋躺躺_  我俩聊了几个小时，最后愣是删到半个小时[脸红]分成上下集发，第二期是更深入的我俩爱情观婚姻观的激烈碰撞～
第一次做这种对谈视频，虽然剪辑工作量很吓人，但是突然get到没有任何脚本随机聊天的快乐，可能这更接近两个人真实的想法吧🤔",和@宋躺躺_ 我俩聊了几个小时，最后愣是删到半个小时分成上下集发，第二期是更深入的我俩爱情观婚姻观的激烈碰撞～ 第一次做这种对谈视频，虽然剪辑工作量很吓人，但是突然get到没有任何脚本随机聊天的快乐，可能这更接近两个人真实的想法吧🤔,0.3594573740249155,1.0,0.7447149325444596
