comment,cleaned_comment,score1,score2
"如果用父爱爱自己的伴侣呢[兔兔茶话会_呜呜呜]
我感觉我从小缺父爱就一直很渴望一个父亲一样的伴侣。。能给我关怀也能同时纠正我错误让我成长的人。
这样也是不好的吗？但是感觉这样的男生也很少","如果用父爱爱自己的伴侣呢
我感觉我从小缺父爱就一直很渴望一个父亲一样的伴侣。。能给我关怀也能同时纠正我错误让我成长的人。
这样也是不好的吗？但是感觉这样的男生也很少",0.3594573740249155,1.0
突然想起来微博上有一个女生的室友考研和男朋友抱怨太累，她男朋友说别考了，我养你，吓的那个女生第二天早上五点起来去图书馆占位置,突然想起来微博上有一个女生的室友考研和男朋友抱怨太累，她男朋友说别考了，我养你，吓的那个女生第二天早上五点起来去图书馆占位置,0.3594573740249155,0.33622659986374615
男朋友现在也大我7岁，确实成熟的男生是宝藏！[星星眼],男朋友现在也大我7岁，确实成熟的男生是宝藏！,0.3594573740249155,1.0
我也喜欢这样的爱情观，可是现在很多女生不喜欢我们男生只会付出。,我也喜欢这样的爱情观，可是现在很多女生不喜欢我们男生只会付出。,0.0,0.4632039205553255
我觉得分开是对的，两个人看待感情的方式不同，女生倾向于奉献型人格，虽然会体谅懂爱人，但是容易受伤吃亏，应该多为自己考虑考虑。而这个男生可能家庭因素心里有很多苦闷，也不喜欢倾诉，可能在亲密的人面前揭开伤口对他来说都是伤自尊的，不能接受的。两个人不合拍，趁现在时间段果断分开是最好的，救赎的关系也要相互奔赴，一个一厢情愿是不会有好的结果的,我觉得分开是对的，两个人看待感情的方式不同，女生倾向于奉献型人格，虽然会体谅懂爱人，但是容易受伤吃亏，应该多为自己考虑考虑。而这个男生可能家庭因素心里有很多苦闷，也不喜欢倾诉，可能在亲密的人面前揭开伤口对他来说都是伤自尊的，不能接受的。两个人不合拍，趁现在时间段果断分开是最好的，救赎的关系也要相互奔赴，一个一厢情愿是不会有好的结果的,0.3594573740249155,1.0
我就是那种，明明很想谈恋爱，但却从来没有实际行动过，遇到喜欢的类型的女生后，这种矛盾就更厉害，喜欢却不敢靠近，想靠近却不敢开口，想开口却患得患失，然后就这样，一边在期待爱情，一边在逃避爱情，最后就这样到了现在的年纪。,我就是那种，明明很想谈恋爱，但却从来没有实际行动过，遇到喜欢的类型的女生后，这种矛盾就更厉害，喜欢却不敢靠近，想靠近却不敢开口，想开口却患得患失，然后就这样，一边在期待爱情，一边在逃避爱情，最后就这样到了现在的年纪。,0.3594573740249155,1.0
我有时候太难理解男生的想法，我是认识了一个同龄男生，是对方加我在先，后面有出去玩过好些次，可以说都是我在主动聊天，主动说吃饭、散步、送礼物，也是我对他表白，但男生就是不接受不拒绝的态度，后面还很冷淡，但是我请教问题会回复我，看起来我还继续热屁股贴上去，我本以为可能男生是不是太害羞那种，想着我主动点，没有直接拒绝应该也许可能也喜欢自己，后面搞得我自己很内耗，呃就算了，应该就是男生不喜欢吧。。。我还是觉得男生不喜欢要说清楚，面对喜欢的人要勇敢点，女孩子也可以主动，就这样哈哈哈哈，仅代表我个人哈，轻喷，键盘留情哈[笑哭],我有时候太难理解男生的想法，我是认识了一个同龄男生，是对方加我在先，后面有出去玩过好些次，可以说都是我在主动聊天，主动说吃饭、散步、送礼物，也是我对他表白，但男生就是不接受不拒绝的态度，后面还很冷淡，但是我请教问题会回复我，看起来我还继续热屁股贴上去，我本以为可能男生是不是太害羞那种，想着我主动点，没有直接拒绝应该也许可能也喜欢自己，后面搞得我自己很内耗，呃就算了，应该就是男生不喜欢吧。。。我还是觉得男生不喜欢要说清楚，面对喜欢的人要勇敢点，女孩子也可以主动，就这样哈哈哈哈，仅代表我个人哈，轻喷，键盘留情哈,0.3594573740249155,0.33622659986374615
好的女生我配不上，差的女生我看不上，一般的女生和我一样的想法[脱单doge],好的女生我配不上，差的女生我看不上，一般的女生和我一样的想法,0.3594573740249155,1.0
我真的好喜欢那种互相尊重的感觉，反正吧从小到大都没遇过这种男生，自然而然对男生就没兴趣了[撇嘴],我真的好喜欢那种互相尊重的感觉，反正吧从小到大都没遇过这种男生，自然而然对男生就没兴趣了,0.40159477065724175,0.4320558161628193
我不想judge这个姐姐谈20段啊，因为我也谈了十几段，从小学算起，但我觉得她视野好窄，学习能力也很差。她体会到的东西明明是一两段恋爱甚至不恋爱就应该能学到的，而且认识男生的圈子也不太行。我在top20的学校吧，其实感觉好学校中国留学生和外国人都是差不多的，都很卷对未来很有规划，也很尊重女性，很认同女性的优秀和成就，但共同语言肯定是同为留学生的中国人啊。而且我也没见过这个女生口中的中式夸人方法，反而认为有些欧洲男生对女孩的态度非常程式化，就是那种被培训出来的夸人法，让我觉得不客观，得不到正确反馈。总之就是个毫无营养的视频，没有一点深刻思想，只有专注自己这一点是对的。,我不想judge这个姐姐谈20段啊，因为我也谈了十几段，从小学算起，但我觉得她视野好窄，学习能力也很差。她体会到的东西明明是一两段恋爱甚至不恋爱就应该能学到的，而且认识男生的圈子也不太行。我在top20的学校吧，其实感觉好学校中国留学生和外国人都是差不多的，都很卷对未来很有规划，也很尊重女性，很认同女性的优秀和成就，但共同语言肯定是同为留学生的中国人啊。而且我也没见过这个女生口中的中式夸人方法，反而认为有些欧洲男生对女孩的态度非常程式化，就是那种被培训出来的夸人法，让我觉得不客观，得不到正确反馈。总之就是个毫无营养的视频，没有一点深刻思想，只有专注自己这一点是对的。,0.3594573740249155,1.0
