comment,cleaned_comment,score1,score2
谈恋爱的目的不是为了结婚那是为啥，要攒经验那就处着玩玩，别打着恋爱的名义搞各种操作，恋爱本就纯洁，复杂的是人罢[doge],谈恋爱的目的不是为了结婚那是为啥，要攒经验那就处着玩玩，别打着恋爱的名义搞各种操作，恋爱本就纯洁，复杂的是人罢,0.3594573740249155,1.0
老实讲心里还是想的，比如想象中恋爱很美好，但是具体到要某个人谈恋爱，就是把这种想法现实化的时候又很抗拒，自己想象出来的困难就一大把……,老实讲心里还是想的，比如想象中恋爱很美好，但是具体到要某个人谈恋爱，就是把这种想法现实化的时候又很抗拒，自己想象出来的困难就一大把……,0.3594573740249155,0.33622659986374615
谈恋爱会有两个人的快乐，单身也有一个人的惊喜，一切事情都是顺其自然且顺应内心的，自己身体健康天天开心才是最重要！！！[鸡腿][鸡腿],谈恋爱会有两个人的快乐，单身也有一个人的惊喜，一切事情都是顺其自然且顺应内心的，自己身体健康天天开心才是最重要！！！,0.0,0.4632039205553255
谈恋爱很消耗我，学习计划被彻底打乱，什么都干不了，我好不容易控制的情绪因为感情彻底崩溃，这样一点也不酷,谈恋爱很消耗我，学习计划被彻底打乱，什么都干不了，我好不容易控制的情绪因为感情彻底崩溃，这样一点也不酷,0.3594573740249155,1.0
告诉自己不谈恋爱，也不是真的不谈，就是表面不谈，在等一个人，等一个让我会有想和她谈恋爱的人，我谈恋爱是因为你，而不是因为孤独或者单纯的为了恋爱而恋爱。,告诉自己不谈恋爱，也不是真的不谈，就是表面不谈，在等一个人，等一个让我会有想和她谈恋爱的人，我谈恋爱是因为你，而不是因为孤独或者单纯的为了恋爱而恋爱。,0.3594573740249155,1.0
母单谈恋爱是真的难，遇到心动的人很容易退缩，然后就错过了[囧],母单谈恋爱是真的难，遇到心动的人很容易退缩，然后就错过了,0.3594573740249155,0.33622659986374615
只想和寡王交朋友，只想和寡王谈恋爱，主打的就是一个陪伴[doge],只想和寡王交朋友，只想和寡王谈恋爱，主打的就是一个陪伴,0.40159477065724175,0.19541385856867788
"如果我只谈恋爱不结婚
第一，这是不是耍流氓
第二，我的金钱、时间的沉默成本谁负责","如果我只谈恋爱不结婚
第一，这是不是耍流氓
第二，我的金钱、时间的沉默成本谁负责",0.3594573740249155,1.0
谈恋爱两个人顺其自然就在一起了，哪有什么技巧[OK],谈恋爱两个人顺其自然就在一起了，哪有什么技巧,0.3594573740249155,1.0
我非常可以理解小美觉得不谈恋爱才能发现生活中的美的观点，因为谈了恋爱就会满心满眼都是那个人，就很难再有静下心来看柳叶的机会了,我非常可以理解小美觉得不谈恋爱才能发现生活中的美的观点，因为谈了恋爱就会满心满眼都是那个人，就很难再有静下心来看柳叶的机会了,0.3594573740249155,1.0
