comment,cleaned_comment,score1,score2,combined_score
刚满23，正在读研，存款快5个了，想谈，但是也可以不谈[呲牙][呲牙]，我之前暑假家里人给我介绍了几个家里条件很好的女孩又很乖，我说要去重庆读研（老家浙江）怕耽误人家（当然我家里条件也确实比人家差很多），就只加了个微信，没什么的，先用心去经历几年自己的生活再说[呲牙][呲牙][呲牙],刚满，正在读研，存款快个了，想谈，但是也可以不谈，我之前暑假家里人给我介绍了几个家里条件很好的女孩又很乖，我说要去重庆读研（老家浙江）怕耽误人家（当然我家里条件也确实比人家差很多），就只加了个微信，没什么的，先用心去经历几年自己的生活再说,1.0,0.33622659986374615,0.46449280091226686
本来分手我都觉得没什么，后面从朋友口中得知我被无缝衔接了，她找事的理由就是因为公司同事在追她。现在对她的恨有点困住自己了[笑哭],本来分手我都觉得没什么，后面从朋友口中得知我被无缝衔接了，她找事的理由就是因为公司同事在追她。现在对她的恨有点困住自己了,0.3594573740249155,1.0,0.7683640107382156
"00后，我觉得性和爱分开没什么
注意卫生，不要闹出人命就好[妙啊][吃瓜]",后，我觉得性和爱分开没什么 注意卫生，不要闹出人命就好,0.3594573740249155,1.0,0.7535824662615747
但是吧，虽然我搞事业也没什么天赋，但我走婚恋就有天赋了么？[喜极而泣],但是吧，虽然我搞事业也没什么天赋，但我走婚恋就有天赋了么？,0.3594573740249155,1.0,0.6483094608893301
上大学之后周围人都没异性了[笑哭][笑哭]，好久没和女生聊天了，自己也不是主动的人，现在快毕业更是觉得和女生好像没什么聊的[大哭][大哭],上大学之后周围人都没异性了，好久没和女生聊天了，自己也不是主动的人，现在快毕业更是觉得和女生好像没什么聊的,0.3594573740249155,1.0,0.7021633434336693
总是看到弹幕因为小姐姐说了几句什么就开始觉得她是直的，我就在想，为啥直的弯的一定要分的很开，思想观念也好，行为方式也好，我觉得只是性取向不同，其他的没什么不同，大家都是女生，都是一样的，难道弯的就不能幻想自己婚礼的样子了吗，害，没别的意思,总是看到弹幕因为小姐姐说了几句什么就开始觉得她是直的，我就在想，为啥直的弯的一定要分的很开，思想观念也好，行为方式也好，我觉得只是性取向不同，其他的没什么不同，大家都是女生，都是一样的，难道弯的就不能幻想自己婚礼的样子了吗，害，没别的意思,0.3594573740249155,0.33622659986374615,0.45199461304143873
老师还是很好的，但是我不完全赞同。喜欢说到底是荷尔蒙作祟，小孩大人没什么不同，谈恋爱叫做建立亲密关系，不是只有喜欢就可以的，需要承担责任相互磨合，所以和单纯的喜欢不一样。但是光就这份感情来说，这就是喜欢。如果俩小孩完全没那意思还好，要是真的互相喜欢那反而还把他们搞迷惑了呢。,老师还是很好的，但是我不完全赞同。喜欢说到底是荷尔蒙作祟，小孩大人没什么不同，谈恋爱叫做建立亲密关系，不是只有喜欢就可以的，需要承担责任相互磨合，所以和单纯的喜欢不一样。但是光就这份感情来说，这就是喜欢。如果俩小孩完全没那意思还好，要是真的互相喜欢那反而还把他们搞迷惑了呢。,0.3594573740249155,1.0,0.9865675843319363
大多数人就是婚本位，跟爱情或者婚姻没什么关系，甚至觉得结婚是理所应当，生孩子也一样，太难理解[笑哭],大多数人就是婚本位，跟爱情或者婚姻没什么关系，甚至觉得结婚是理所应当，生孩子也一样，太难理解,0.3594573740249155,1.0,0.5953972205275943
男性能进入相亲市场，都是有一定条件的，至少达到了她们眼里的准入门槛，注意哦，是准入门槛，相当于只是拿到了她们的门票。。。[滑稽]而女性进入相亲市场的条件是性别女，如果是爱好旅游，吃喝玩乐，要是有正在考公，正在考编，那么就是妥妥的“加分项”。。,男性能进入相亲市场，都是有一定条件的，至少达到了她们眼里的准入门槛，注意哦，是准入门槛，相当于只是拿到了她们的门票。。。而女性进入相亲市场的条件是性别女，如果是爱好旅游，吃喝玩乐，要是有正在考公，正在考编，那么就是妥妥的“加分项”。。,0.3594573740249155,1.0,0.9873529385911879
我本科对象大专[笑哭]除了对方没什么安全感外就没啥不好的，硬要说的话那是我挣得少养不起他他不会做饭[大哭],我本科对象大专除了对方没什么安全感外就没啥不好的，硬要说的话那是我挣得少养不起他他不会做饭,0.3594573740249155,1.0,0.8039094166478704
