comment,cleaned_comment,score1,score2
牵肠挂肚，惴惴不安，超越理性，难以言说，即刻交融，究极圆满。时常想把我送给你，却又怕这份礼不够份量。我对与你的共同过往充满感激，对因你而起的对于未来的幻想亦复如是。,牵肠挂肚，惴惴不安，超越理性，难以言说，即刻交融，究极圆满。时常想把我送给你，却又怕这份礼不够份量。我对与你的共同过往充满感激，对因你而起的对于未来的幻想亦复如是。,0.34073961154861454,0.965775842307604
想要谈一场能写信互诉衷肠的恋爱,想要谈一场能写信互诉衷肠的恋爱,0.34073961154861454,0.965775842307604
爱让我感觉很受伤，很害怕，很幸福，很牵挂，很高兴，感觉再这样下去要心脏不好了，但我依然会选择爱，因为是你，有你全世界都是有魅力的,爱让我感觉很受伤，很害怕，很幸福，很牵挂，很高兴，感觉再这样下去要心脏不好了，但我依然会选择爱，因为是你，有你全世界都是有魅力的,0.34073961154861454,0.965775842307604
你想控制的东西，其实反向也在控制着你，科学上讲就是力与反作用力。如果把这个道理加在爱情上，那其实也不是真正的爱情。王老师讲的里面有一句话才是爱的真谛，那就是见不到的时候会很焦急，一间就会心安，或者说排除性之外的一见钟情，才算是真爱。根本上讲，爱情就是精神世界的一种感觉，无法用言语去描述,你想控制的东西，其实反向也在控制着你，科学上讲就是力与反作用力。如果把这个道理加在爱情上，那其实也不是真正的爱情。王老师讲的里面有一句话才是爱的真谛，那就是见不到的时候会很焦急，一间就会心安，或者说排除性之外的一见钟情，才算是真爱。根本上讲，爱情就是精神世界的一种感觉，无法用言语去描述,0.34073961154861454,0.965775842307604
所有不以结婚为目的恋爱都是耍流氓，这句话就和“所有不以上大学为目标的青春都是耍流氓”是一样的，结婚只是恋爱的一种结果，家庭是一种有利于个人稳定和社会稳定的关系，有些恋爱最终会走到这种关系里面，有些不会走进去里面，但并不影响你体验恋爱的感受。就好比上大学是青春年华里一个比较好的选择，但你不能说没上大学的青春就不是青春，就不美好了。同样的，上大学里面也有摆烂虚度光阴之人，你总不能说这些颓废大学生的青春就很美好吧！两者并没有本质的关联。,所有不以结婚为目的恋爱都是耍流氓，这句话就和“所有不以上大学为目标的青春都是耍流氓”是一样的，结婚只是恋爱的一种结果，家庭是一种有利于个人稳定和社会稳定的关系，有些恋爱最终会走到这种关系里面，有些不会走进去里面，但并不影响你体验恋爱的感受。就好比上大学是青春年华里一个比较好的选择，但你不能说没上大学的青春就不是青春，就不美好了。同样的，上大学里面也有摆烂虚度光阴之人，你总不能说这些颓废大学生的青春就很美好吧！两者并没有本质的关联。,0.34073961154861454,0.965775842307604
原来如此，因为我心里藏着一个人，他不知道，但是我很开心。即使偶尔遇见渣男，我也能笑着转身，因为我心里藏着一个人，没有男人能入心。也就没有人能伤我的心。,原来如此，因为我心里藏着一个人，他不知道，但是我很开心。即使偶尔遇见渣男，我也能笑着转身，因为我心里藏着一个人，没有男人能入心。也就没有人能伤我的心。,0.34073961154861454,0.965775842307604
大二的时候英语角，她穿着白色衬衣，袖口处缀花，手里拿着考专4用的收音机📻，刘海下闪烁着会说话的眼睛，我一下子被击中了，第一次鼓起勇气，主动去聊天。 目前，聊了16年。,大二的时候英语角，她穿着白色衬衣，袖口处缀花，手里拿着考专4用的收音机📻，刘海下闪烁着会说话的眼睛，我一下子被击中了，第一次鼓起勇气，主动去聊天。 目前，聊了16年。,0.965775842307604,0.965775842307604
爱情不是讨好，是需要相互吸引的，万物都遵循着万有引力法则，人与人之间也是一样的，我们要做的就是提升自己的魅力活的自在一些，自然就会吸引到和你匹配的人了，推荐各位可以看看吸引力法则，挺有用的,爱情不是讨好，是需要相互吸引的，万物都遵循着万有引力法则，人与人之间也是一样的，我们要做的就是提升自己的魅力活的自在一些，自然就会吸引到和你匹配的人了，推荐各位可以看看吸引力法则，挺有用的,0.34073961154861454,0.965775842307604
"给男的几点建议
1绝不向下兼容
原因：1不要觉得这样她会对你更好，她只会更看不起你
2使得男的不得不总体向下兼容而吃亏
3经济吃亏，扶贫

2不要相信爱情,不管在何种情况下
原因：1现在社会已经没有增量，基本任何情况下的博弈都是0和的，你相信了，让了，你就亏了。个人建议如果本身圈子还可以，可以在面子上照顾感情的说法，演演戏，让生活更润滑
2女的不会因为你的退让而感激并反馈，只会觉得你好拿捏，不断试验你的底线

3放弃责任感这种PUA，责任是在双方长期互相付出的基础上建立的共识，即因为长期的互相付出，使得我们认为对方会对我付出而因此我对对方付出。不是什么恋爱了，结婚了，上chuanh了就有了责任，一定要搞清楚其中逻辑。","给男的几点建议
1绝不向下兼容
原因：1不要觉得这样她会对你更好，她只会更看不起你
2使得男的不得不总体向下兼容而吃亏
3经济吃亏，扶贫

2不要相信爱情,不管在何种情况下
原因：1现在社会已经没有增量，基本任何情况下的博弈都是0和的，你相信了，让了，你就亏了。个人建议如果本身圈子还可以，可以在面子上照顾感情的说法，演演戏，让生活更润滑
2女的不会因为你的退让而感激并反馈，只会觉得你好拿捏，不断试验你的底线

3放弃责任感这种PUA，责任是在双方长期互相付出的基础上建立的共识，即因为长期的互相付出，使得我们认为对方会对我付出而因此我对对方付出。不是什么恋爱了，结婚了，上chuanh了就有了责任，一定要搞清楚其中逻辑。",0.34073961154861454,0.34073961154861454
跟人相处很难，跟一个人建立亲密关系更难。且不说虚无缥缈的爱情，和一个人签订契约过一生必然需要信任，理解，真诚和尊重，试问现在的小情侣有哪一对能真的做到这四点。,跟人相处很难，跟一个人建立亲密关系更难。且不说虚无缥缈的爱情，和一个人签订契约过一生必然需要信任，理解，真诚和尊重，试问现在的小情侣有哪一对能真的做到这四点。,0.34073961154861454,0.965775842307604
以前我就是等着老天派给我一个对象，现在才慢慢感悟到，自己就是那种恋爱经验特别少，理论特别足，还特别理想化想一步到位的那个人，这不是在做梦呢吗,以前我就是等着老天派给我一个对象，现在才慢慢感悟到，自己就是那种恋爱经验特别少，理论特别足，还特别理想化想一步到位的那个人，这不是在做梦呢吗,0.34073961154861454,0.34073961154861454
"当信息足够发达，社会足够开放，个体获得伴侣过于容易时，爱情就被判死刑了。
一个又一个交友软件、一篇又一篇恋爱教学，带来的结果是什么？
擅长操纵感情的人越来越擅长操纵感情，容易受骗的人则越来越封闭自己的感情。
一面是淫乱纵欲，另一面是固步自封。
或许观点会骗人，但数据不会骗人。东亚几个现代化国家，无一不是结婚率、出生率双双下降。
有些东西，只会适得其反。","当信息足够发达，社会足够开放，个体获得伴侣过于容易时，爱情就被判死刑了。
一个又一个交友软件、一篇又一篇恋爱教学，带来的结果是什么？
擅长操纵感情的人越来越擅长操纵感情，容易受骗的人则越来越封闭自己的感情。
一面是淫乱纵欲，另一面是固步自封。
或许观点会骗人，但数据不会骗人。东亚几个现代化国家，无一不是结婚率、出生率双双下降。
有些东西，只会适得其反。",0.34073961154861454,0.34073961154861454
"还有up主太两极分化了，恋爱结婚除了稳定一辈子就是玩玩??我们可以很认真的恋爱或者结婚，但没有走到一辈子也不代表就是奔着玩玩去的啊??!!! 每一段感情都是一个人生经历，就和一次旅游，一段职场，一次创业一样，就算最后没有终老，只要在一起的时候认真投入了，让双方变好了，那就是值得的恋爱，不是玩玩。
自由恋爱给人爱的自由，也给人不爱的自由，这是非常正常的事情。每个人在不同的人生阶段所呈现出来的可以是完全不同的人，在每个人生阶段根据阅历和认知的不同都会造成不同的喜欢的类型，自己散发的气场也会吸引不同种类的人。
有些人一开始合适+互相喜欢，随着时间慢慢的改变了，到了一个岔路口就分开，这是很正常的现象，并不代表这两个人当时没有认真过只是玩玩。
相反，如果一开始喜欢的人非要逼着他们走完一辈子，就算没有爱了也要强撑着婚姻空壳，这才是消耗人的时间与生命力，也是一种道德与情感的绑架。
人有爱的权利，也有不爱的权利。不爱可以把关注点放在自身，也可以把如何讨男女朋友欢心的心思用来考试面试学另一种语言学做菜等等。我天天给一个乞丐一块钱，有一天不给了，这是我的权利，因为这本来就是我的钱。同样，我天天爱一个人，突然有一天不爱了，这也是我的权利，因为我的情感，情绪和精力本来就属于我，我决定收回本来就是我的自由。","还有up主太两极分化了，恋爱结婚除了稳定一辈子就是玩玩??我们可以很认真的恋爱或者结婚，但没有走到一辈子也不代表就是奔着玩玩去的啊??!!! 每一段感情都是一个人生经历，就和一次旅游，一段职场，一次创业一样，就算最后没有终老，只要在一起的时候认真投入了，让双方变好了，那就是值得的恋爱，不是玩玩。
自由恋爱给人爱的自由，也给人不爱的自由，这是非常正常的事情。每个人在不同的人生阶段所呈现出来的可以是完全不同的人，在每个人生阶段根据阅历和认知的不同都会造成不同的喜欢的类型，自己散发的气场也会吸引不同种类的人。
有些人一开始合适+互相喜欢，随着时间慢慢的改变了，到了一个岔路口就分开，这是很正常的现象，并不代表这两个人当时没有认真过只是玩玩。
相反，如果一开始喜欢的人非要逼着他们走完一辈子，就算没有爱了也要强撑着婚姻空壳，这才是消耗人的时间与生命力，也是一种道德与情感的绑架。
人有爱的权利，也有不爱的权利。不爱可以把关注点放在自身，也可以把如何讨男女朋友欢心的心思用来考试面试学另一种语言学做菜等等。我天天给一个乞丐一块钱，有一天不给了，这是我的权利，因为这本来就是我的钱。同样，我天天爱一个人，突然有一天不爱了，这也是我的权利，因为我的情感，情绪和精力本来就属于我，我决定收回本来就是我的自由。",0.34073961154861454,0.965775842307604
其实很多人的心理健康、成熟程度，根本不足以撑起婚恋家庭，更别说养育孩子了，亲密关系里每一个事件都容易激发出人的内心创伤，非要在一起，大概率也是相爱相杀互相伤害[笑哭],其实很多人的心理健康、成熟程度，根本不足以撑起婚恋家庭，更别说养育孩子了，亲密关系里每一个事件都容易激发出人的内心创伤，非要在一起，大概率也是相爱相杀互相伤害,0.34073961154861454,0.965775842307604
这不是科幻片！！！[保卫萝卜_哭哭][保卫萝卜_哭哭]我和我初恋从初中谈到现在读大学，观念上真的和视频里说到的几乎一模一样，一直很稳定而且幸福[保卫萝卜_哭哭]平时看到身边那些随意且快餐式的恋爱方式是真的百思不得其解，但选择尊重,这不是科幻片！！！我和我初恋从初中谈到现在读大学，观念上真的和视频里说到的几乎一模一样，一直很稳定而且幸福平时看到身边那些随意且快餐式的恋爱方式是真的百思不得其解，但选择尊重,0.965775842307604,0.965775842307604
公开是啥意思呢？我和我女朋友都是不发朋友圈的那种，我们确定关系的时候也都没发朋友圈，但都给家里还有关系比较近的人说了，我们是不是应该发朋友圈公开一下呢,公开是啥意思呢？我和我女朋友都是不发朋友圈的那种，我们确定关系的时候也都没发朋友圈，但都给家里还有关系比较近的人说了，我们是不是应该发朋友圈公开一下呢,0.34073961154861454,0.965775842307604
